-,-,döda lövbuskar
Cupressaceae,Juniperus communis,En levande
Cupressaceae,Juniperus communis mors,En död
Salicaceae,Salix,Viden delvis
Salicaceae,Salix myrsinites,Glansvide
Salicaceae,Salix glauca/lanata/lapponum,Rip/ull/lappvide
Myricaceae,Myrica gale,Pors
Betulaceae,Betula nana,Dvärgbjörk
Corylaceae,Corylus avellana,Hassel
Corylaceae,Berberis vulgaris,Berberis
Rosaceae,Ribes rubrum/spicatum/nigrum,Vinbär
Rosaceae,Ribes uva-crispa,Krusbär
Rosaceae,Ribes alpinum,Måbär
Rosaceae,Spiraea,Spirea (alla)
Rosaceae,Rubus idaeus,Hallon
Rosaceae,Rubus caesius,Blåhallon
Rosaceae,Rubus subg.,Björnbär (alla)
Rosaceae,Rosa rugosa,Vresros
Rosaceae,Rosa,Rosor övriga
Rosaceae,Potentilla fruticosa,Ölandstok
Rosaceae,Amelanchier,Häggmisplar (alla)
Rosaceae,Cotoneaster,Oxbär (alla)
Rosaceae,Crataegus,Hagtorn (alla)
Rosaceae,Prunus spinosa,Slån
Rhamnaceae,Frangula alnus,Brakved
Fabaceae,Cytisus scoparius,Harris
Celastraceae,Euonymus europaeus,Benved
Rhamnaceae,Rhamnus cathartica,Getapel (varför ligger denna här? Flyttas ihop med Brakved?)
Thymelaeaceae,Daphne mezereum,Tibast
Elaeagnaceae,Hippophaë rhamnoides,Havtorn
Cornaceae,Cornus sanguinea,Skogskornell
Cornaceae,Cornus alba ssp. stolonifera,Videkornell (Är den särskilt intressant?)
Araliaceae,Hedera helix,Murgröna
Oleaceae,Ligustrum vulgare,Liguster
Oleaceae,Syringa vulgaris,Syren
Caprifoliaceae,Sambucus racemosa,Druvfläder
Caprifoliaceae,Sambucus nigra,Fläder
Caprifoliaceae,Viburnum opulus,Olvon
Caprifoliaceae,Symphoricarpos albus,Snöbär
Caprifoliaceae,Lonicera caprifolium,Kaprifol
Caprifoliaceae,Lonicera xylosteum,Skogstry
Caprifoliaceae,Lonicera caerulea,Blåtry

