Pinaceae,Pinus sylvestris,Tall
Pinaceae,Pinus mugo,Bergtall
Pinaceae,Pinus cembra,Cembratall
Pinaceae,Pinus contorta,Contortatall
Pinaceae,Pinus-,Övriga tallar
Pinaceae,Larix decidua,Lärk
Pinaceae,Picea abies,Gran
Pinaceae,Picea-,Främmande Picea
Pinaceae,Abies-,Ädelgranar Abies
Taxaceae,Taxus baccata,Idegran
-,-,Övr. främ. barrträd (några som inte är Pinaceae?)
Betulaceae,Betula-,Björkar (ej dvärg-)
Salicaceae,Populus tremula,Asp
Salicaceae,Populus-,Övriga popplar
Fagaceae,Quercus robur,Ekar
Fagaceae,Fagus sylvatica,Bok
Hippocastanaceae,Aesculus hippocastanum,Hästkastanj
Oleaceae,Fraxinus excelsior,Ask
Ulmaceae,Ulmus-,Almar (alla)
Tiliaceae,Tilia,Lindar
Aceraceae,Acer platanoides,Lönn
Aceraceae,Acer pseudoplatanus,Tysklönn-Syk.lönn
Corylaceae,Carpinus betulus,Avenbok
Rosaceae,Prunus avium,Sötkörsbär-Fågelbär
Rosaceae,Prunus padus,Hägg
Rosaceae,Prunus domestica,Plommon
Rosaceae,Malus sylvestris,Apel (äv. domestica?)
Rosaceae,Pyrus communis,Päron
Betulaceae,Alnus glutinosa,Klibbal
Betulaceae,Alnus incana,Gråal
Saliceae,Salix caprea,Sälg, diam >20 mm
Saliceae,Salix-,Pilar, diam >20 mm (ingår jolster?)
Rosaceae,Sorbus aucuparia,Rönn
Rosaceae,Sorbus-,Oxlar
-,-,Övriga lövträd
